[2023-07-01 00:19:00] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/_activity_log.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/_activity_log.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/_export_log.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/_export_log.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/layouts/admin.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/layouts/admin.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/diagnostics.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/diagnostics.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/redirect.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/redirect.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/assets/simply-static-logo.svg to queue as: http://msouden.local/wp-content/plugins/simply-static/assets/simply-static-logo.svg
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/autoload.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/autoload.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.lock to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.lock
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/phpunit.xml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/phpunit.xml
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/bin/install-wp-tests.sh to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/bin/install-wp-tests.sh
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-async-request.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-async-request.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-background-process.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-background-process.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/Makefile to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/Makefile
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/Test_WP_Background_Process.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/Test_WP_Background_Process.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/Test_Setup.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/Test_Setup.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/bootstrap.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/tests/bootstrap.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/README.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/README.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.gitignore to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.gitignore
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/wp-background-processing.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/wp-background-processing.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.phpcs.xml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.phpcs.xml
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/license.txt to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/license.txt
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.circleci/config.yml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/.circleci/config.yml
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.json to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.json
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_namespaces.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_namespaces.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/LICENSE to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/LICENSE
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/ClassLoader.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/ClassLoader.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_psr4.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_psr4.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_classmap.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_classmap.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/platform_check.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/platform_check.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_static.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_static.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_real.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_real.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/installed.json to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/installed.json
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_files.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/autoload_files.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/InstalledVersions.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/InstalledVersions.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/composer/installed.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/composer/installed.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/LICENSE to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/LICENSE
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/CHANGELOG to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/CHANGELOG
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/README_API.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/README_API.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/README.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/README.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/FUNDING.yml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/FUNDING.yml
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/workflows/ci.yml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/workflows/ci.yml
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/ISSUE_TEMPLATE.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/ISSUE_TEMPLATE.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/CONTRIBUTING.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/.github/CONTRIBUTING.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/docs/api.md to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/docs/api.md
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/generate_docs.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/generate_docs.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/composer.json to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/build/composer.json
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/composer.json to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/composer.json
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDom.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDom.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractDomParser.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractDomParser.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomHelper.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomHelper.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDomNode.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDomNode.php
[2023-07-01 00:19:02] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeBlank.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeBlank.php
